company:pbs	acquired	televisionstation:wha
televisionstation:wouc_tv	agent_collaborates_with_agent	company:pbs
televisionstation:kcts_tv	agent_collaborates_with_agent	company:pbs
televisionstation:ktci_tv	agent_collaborates_with_agent	company:pbs
televisionstation:ksps_tv	agent_collaborates_with_agent	company:pbs
televisionstation:wosu_tv	agent_collaborates_with_agent	company:pbs
televisionstation:wkle	agent_collaborates_with_agent	company:pbs
televisionstation:wkmr	agent_collaborates_with_agent	company:pbs
televisionstation:wpbt	agent_collaborates_with_agent	company:pbs
televisionstation:kcka	agent_collaborates_with_agent	company:pbs
televisionstation:kbdi_tv	agent_collaborates_with_agent	company:pbs
televisionstation:wviz_tv	agent_collaborates_with_agent	company:pbs
televisionstation:wwpb	agent_collaborates_with_agent	company:pbs
televisionstation:wgte_tv	agent_collaborates_with_agent	company:pbs
televisionstation:wtiu_tv	agent_collaborates_with_agent	company:pbs
televisionstation:kood	agent_collaborates_with_agent	company:pbs
televisionstation:wkmu	agent_collaborates_with_agent	company:pbs
televisionstation:kdsd_tv	agent_collaborates_with_agent	company:pbs
televisionstation:klpa_tv	agent_collaborates_with_agent	company:pbs
televisionstation:kxne_tv	agent_collaborates_with_agent	company:pbs
televisionstation:wmvs_tv	agent_collaborates_with_agent	company:pbs
televisionstation:kuid_tv	agent_collaborates_with_agent	company:pbs
televisionstation:kaft	agent_collaborates_with_agent	company:pbs
televisionstation:ketg	agent_collaborates_with_agent	company:pbs
televisionstation:wkno_tv	agent_collaborates_with_agent	company:pbs
televisionstation:wsre	agent_collaborates_with_agent	company:pbs
televisionstation:wgcu_tv	agent_collaborates_with_agent	company:pbs
televisionstation:kpsd_tv	agent_collaborates_with_agent	company:pbs
televisionstation:kzsd_tv	agent_collaborates_with_agent	company:pbs
televisionstation:knpb_tv	agent_collaborates_with_agent	company:pbs
televisionstation:wekw_tv	agent_collaborates_with_agent	company:pbs
televisionstation:kwse	agent_collaborates_with_agent	company:pbs
televisionstation:weiq_tv	agent_collaborates_with_agent	company:pbs
televisionstation:kixe_tv	agent_collaborates_with_agent	company:pbs
televisionstation:wvpy	agent_collaborates_with_agent	company:pbs
televisionstation:kufm_tv	agent_collaborates_with_agent	company:pbs
televisionstation:whiq	agent_collaborates_with_agent	company:pbs
televisionstation:ktca_tv	agent_collaborates_with_agent	company:pbs
televisionstation:kpne_tv	agent_collaborates_with_agent	company:pbs
televisionstation:kcsd_tv	agent_collaborates_with_agent	company:pbs
televisionstation:kamu_tv	agent_collaborates_with_agent	company:pbs
televisionstation:wdcq_tv	agent_collaborates_with_agent	company:pbs
televisionstation:wgbh_tv	agent_collaborates_with_agent	company:pbs
televisionstation:kaet	agent_collaborates_with_agent	company:pbs
televisionstation:kawe	agent_collaborates_with_agent	company:pbs
televisionstation:kyve_tv	agent_collaborates_with_agent	company:pbs
televisionstation:weao	agent_collaborates_with_agent	company:pbs
televisionstation:kmne_tv	agent_collaborates_with_agent	company:pbs
televisionstation:wvta	agent_collaborates_with_agent	company:pbs
televisionstation:kuat_tv	agent_collaborates_with_agent	company:pbs
televisionstation:kbhe_tv	agent_collaborates_with_agent	company:pbs
televisionstation:kdck	agent_collaborates_with_agent	company:pbs
televisionstation:wptd	agent_collaborates_with_agent	company:pbs
televisionstation:wbcc_tv	agent_collaborates_with_agent	company:pbs
televisionstation:wmpt	agent_collaborates_with_agent	company:pbs
televisionstation:kdin_tv	agent_collaborates_with_agent	company:pbs
televisionstation:wjct	agent_collaborates_with_agent	company:pbs
televisionstation:wsbn_tv	agent_collaborates_with_agent	company:pbs
televisionstation:klpb_tv	agent_collaborates_with_agent	company:pbs
televisionstation:klru	agent_collaborates_with_agent	company:pbs
televisionstation:wmfe_tv	agent_collaborates_with_agent	company:pbs
televisionstation:kteh	agent_collaborates_with_agent	company:pbs
televisionstation:wnin_tv	agent_collaborates_with_agent	company:pbs
televisionstation:wqpt_tv	agent_collaborates_with_agent	company:pbs
televisionstation:wyes_tv	agent_collaborates_with_agent	company:pbs
televisionstation:wdse_tv	agent_collaborates_with_agent	company:pbs
televisionstation:wntv	agent_collaborates_with_agent	company:pbs
televisionstation:ksmq_tv	agent_collaborates_with_agent	company:pbs
televisionstation:wbiq_tv	agent_collaborates_with_agent	company:pbs
televisionstation:kpts	agent_collaborates_with_agent	company:pbs
televisionstation:wlvt_tv	agent_collaborates_with_agent	company:pbs
televisionstation:kued	agent_collaborates_with_agent	company:pbs
televisionstation:wpbo_tv	agent_collaborates_with_agent	company:pbs
televisionstation:wcet	agent_collaborates_with_agent	company:pbs
televisionstation:kbtc_tv	agent_collaborates_with_agent	company:pbs
televisionstation:wha__tv	agent_collaborates_with_agent	company:pbs
televisionstation:wpsx_tv	agent_collaborates_with_agent	company:pbs
televisionstation:wmah_tv	agent_collaborates_with_agent	company:pbs
televisionstation:wnjt	agent_collaborates_with_agent	company:pbs
televisionstation:whla_tv	agent_collaborates_with_agent	company:pbs
televisionstation:wxel_tv	agent_collaborates_with_agent	company:pbs
televisionstation:kfts	agent_collaborates_with_agent	company:pbs
televisionstation:wedn	agent_collaborates_with_agent	company:pbs
televisionstation:kawb	agent_collaborates_with_agent	company:pbs
televisionstation:kuon_tv	agent_collaborates_with_agent	company:pbs
televisionstation:wjeb_tv	agent_collaborates_with_agent	company:pbs
televisionstation:wkzt_tv	agent_collaborates_with_agent	company:pbs
televisionstation:kozk	agent_collaborates_with_agent	company:pbs
televisionstation:wunc_tv	agent_collaborates_with_agent	company:pbs
televisionstation:kswk	agent_collaborates_with_agent	company:pbs
televisionstation:wlpb_tv	agent_collaborates_with_agent	company:pbs
televisionstation:wunf_tv	agent_collaborates_with_agent	company:pbs
televisionstation:krcb	agent_collaborates_with_agent	company:pbs
televisionstation:wbra_tv	agent_collaborates_with_agent	company:pbs
televisionstation:wmed_tv	agent_collaborates_with_agent	company:pbs
televisionstation:wcfe_tv	agent_collaborates_with_agent	company:pbs
company:pbs	agent_controls	televisionstation:kuid_tv
company:pbs	agent_controls	televisionstation:krcb
company:pbs	agent_controls	televisionstation:kfts
company:pbs	agent_controls	televisionstation:wbcc_tv
company:pbs	agent_controls	televisionstation:ktca_tv
company:pbs	agent_controls	televisionstation:wlvt_tv
company:pbs	agent_controls	televisionstation:wpba
company:pbs	agent_controls	televisionstation:wkoh
company:pbs	agent_controls	televisionstation:wetp_tv
company:pbs	agent_controls	televisionstation:kuat_tv
company:pbs	agent_controls	televisionstation:kwse
company:pbs	agent_controls	televisionstation:kdsd_tv
company:pbs	agent_controls	televisionstation:whmc
company:pbs	agent_controls	televisionstation:wxel_tv
company:pbs	agent_controls	televisionstation:wqec
company:pbs	agent_controls	televisionstation:wxxi_tv
company:pbs	agent_controls	televisionstation:ktnw
company:pbs	agent_controls	televisionstation:wkle
company:pbs	agent_controls	televisionstation:wiiq
company:pbs	agent_controls	televisionstation:wunf_tv
company:pbs	agent_controls	televisionstation:wpbo_tv
company:pbs	agent_controls	televisionstation:wviz_tv
company:pbs	agent_controls	televisionstation:kcet
company:pbs	agent_controls	televisionstation:kesd_tv
company:pbs	agent_controls	televisionstation:wnjs
company:pbs	agent_controls	televisionstation:wrja_tv
company:pbs	agent_controls	televisionstation:wkas
company:pbs	agent_controls	televisionstation:kocv_tv
company:pbs	agent_controls	televisionstation:whla_tv
company:pbs	agent_controls	televisionstation:kera_tv
company:pbs	agent_controls	televisionstation:koet
company:pbs	agent_controls	televisionstation:kltm_tv
company:pbs	agent_controls	televisionstation:kbtc_tv
company:pbs	agent_controls	televisionstation:ketg
company:pbs	agent_controls	televisionstation:kswk
company:pbs	agent_controls	televisionstation:kbhe_tv
company:pbs	agent_controls	televisionstation:wyes_tv
company:pbs	agent_controls	televisionstation:wmaw_tv
company:pbs	agent_controls	televisionstation:kcsd_tv
company:pbs	agent_controls	televisionstation:wkma
company:pbs	agent_controls	televisionstation:klru
company:pbs	agent_controls	televisionstation:ksps_tv
company:pbs	agent_controls	televisionstation:wmae_tv
company:pbs	agent_controls	televisionstation:wkyu_tv
company:pbs	agent_controls	televisionstation:wung_tv
company:pbs	agent_controls	televisionstation:wnit_tv
company:pbs	agent_controls	televisionstation:kmne_tv
company:pbs	agent_controls	televisionstation:wkmj_tv
company:pbs	agent_controls	televisionstation:wmea_tv
company:pbs	agent_controls	televisionstation:wunl_tv
company:pbs	agent_controls	televisionstation:ketc
company:pbs	agent_controls	televisionstation:weao
company:pbs	agent_controls	televisionstation:wgte_tv
company:pbs	agent_controls	televisionstation:wlef_tv
company:pbs	agent_controls	televisionstation:wwpb
company:pbs	agent_controls	televisionstation:ktsd_tv
company:pbs	agent_controls	televisionstation:wmav_tv
company:pbs	agent_controls	televisionstation:krne_tv
company:pbs	agent_controls	televisionstation:kood
company:pbs	agent_controls	televisionstation:wpbt
company:pbs	agent_controls	televisionstation:klts_tv
company:pbs	agent_controls	televisionstation:whrm_tv
company:pbs	agent_controls	televisionstation:ktwu
company:pbs	agent_controls	televisionstation:ktne_tv
company:pbs	agent_controls	televisionstation:klpb_tv
company:pbs	agent_controls	televisionstation:kzsd_tv
company:pbs	agent_controls	televisionstation:whro_tv
company:pbs	agent_controls	televisionstation:wenh
company:pbs	agent_controls	televisionstation:wpsx_tv
company:pbs	agent_controls	televisionstation:wfpt
company:pbs	agent_controls	televisionstation:kacv_tv
company:pbs	agent_controls	televisionstation:kmos_tv
company:pbs	agent_controls	televisionstation:wneo
company:pbs	agent_controls	televisionstation:kvcr_tv
company:pbs	agent_controls	televisionstation:wmau_tv
company:pbs	agent_controls	televisionstation:kpts
company:pbs	agent_controls	televisionstation:kusm
company:pbs	agent_controls	televisionstation:wnvt
company:pbs	agent_controls	televisionstation:wgbh_tv
company:pbs	agent_controls	televisionstation:ksre
company:pbs	agent_controls	televisionstation:wjeb_tv
company:pbs	agent_controls	televisionstation:kozk
company:pbs	agent_controls	televisionstation:wmah_tv
company:pbs	agent_controls	televisionstation:kuas_tv
company:pbs	agent_controls	televisionstation:wlae_tv
company:pbs	agent_controls	televisionstation:wmpn_tv
company:pbs	agent_controls	televisionstation:wsiu_tv
company:pbs	agent_controls	televisionstation:wedn
company:pbs	agent_controls	televisionstation:wkpc_tv
company:pbs	agent_controls	televisionstation:wnin_tv
company:pbs	agent_controls	televisionstation:kteh
company:pbs	agent_controls	televisionstation:wgbx_tv
company:pbs	agent_controls	televisionstation:wosu_tv
company:pbs	agent_controls	televisionstation:wnjt
company:pbs	agent_controls	televisionstation:wkop_tv
company:pbs	agent_controls	televisionstation:kusd_tv
company:pbs	agent_controls	televisionstation:koac_tv
company:pbs	agent_controls	televisionstation:kqsd_tv
company:pbs	agent_controls	televisionstation:wgiq
company:pbs	agent_controls	televisionstation:wfiq
company:pbs	agent_controls	televisionstation:wjct
company:pbs	agent_controls	televisionstation:wunp_tv
company:pbs	agent_controls	televisionstation:kcdt_tv
company:pbs	agent_controls	televisionstation:wha__tv
company:pbs	agent_controls	televisionstation:ksmq_tv
company:pbs	agent_controls	televisionstation:kued
company:pbs	agent_controls	televisionstation:kbme_tv
company:pbs	agent_controls	televisionstation:wnpb_tv
company:pbs	agent_controls	televisionstation:kcge_dt
company:pbs	agent_controls	televisionstation:krsc_tv
company:pbs	agent_controls	televisionstation:kawe
company:pbs	agent_controls	televisionstation:wkon
company:pbs	agent_controls	televisionstation:wkmu
company:pbs	agent_controls	televisionstation:kcwc_tv
company:pbs	agent_controls	televisionstation:ktsc_tv
company:pbs	agent_controls	televisionstation:whiq
company:pbs	agent_controls	televisionstation:wljt_tv
company:pbs	agent_controls	televisionstation:wfwa
company:pbs	agent_controls	televisionstation:wgcu_tv
company:pbs	agent_controls	televisionstation:wunc_tv
company:pbs	agent_controls	televisionstation:kdin_tv
company:pbs	agent_controls	televisionstation:wtvi
company:pbs	agent_controls	televisionstation:kcka
company:pbs	agent_controls	televisionstation:wkmr
company:pbs	agent_controls	televisionstation:wqpt_tv
company:pbs	agent_controls	televisionstation:knme_tv
company:pbs	agent_controls	website:koed_tv
televisionstation:kqet	company_economic_sector	academicfield:media
televisionstation:kets_tv	company_economic_sector	academicfield:media
company:kemv	company_economic_sector	academicfield:media
company:pbs	company_economic_sector	academicfield:news
company:pbs	company_economic_sector	academicfield:media
company:kues	company_economic_sector	academicfield:media
company:pbs	organization_hired_person	personus:pat_mitchell
company:pbs	organization_terminated_person	personus:pat_mitchell
televisionstation:kcka	subpart_of	company:pbs
televisionstation:wmvs_tv	subpart_of	company:pbs
televisionstation:krma_tv	subpart_of	company:pbs
televisionstation:kera_tv	subpart_of	company:pbs
televisionstation:wgte_tv	subpart_of	company:pbs
televisionstation:kued	subpart_of	company:pbs
televisionstation:kuat_tv	subpart_of	company:pbs
televisionstation:kpne_tv	subpart_of	company:pbs
televisionstation:wfsu_tv	subpart_of	company:pbs
televisionstation:kbdi_tv	subpart_of	company:pbs
televisionstation:wmfe_tv	subpart_of	company:pbs
televisionstation:kdin_tv	subpart_of	company:pbs
televisionstation:wlpb_tv	subpart_of	company:pbs
televisionstation:wptd	subpart_of	company:pbs
televisionstation:wlvt_tv	subpart_of	company:pbs
televisionstation:kuht	subpart_of	company:pbs
televisionstation:wnvt	subpart_of	company:pbs
televisionstation:wosu_tv	subpart_of	company:pbs
televisionstation:kozk	subpart_of	company:pbs
televisionstation:kesd_tv	subpart_of	company:pbs
televisionstation:kixe_tv	subpart_of	company:pbs
televisionstation:wnsc_tv	subpart_of	company:pbs
televisionstation:kuon_tv	subpart_of	company:pbs
televisionstation:wrja_tv	subpart_of	company:pbs
televisionstation:wiiq	subpart_of	company:pbs
televisionstation:kufm_tv	subpart_of	company:pbs
televisionstation:wgcu_tv	subpart_of	company:pbs
televisionstation:wekw_tv	subpart_of	company:pbs
televisionstation:kaft	subpart_of	company:pbs
televisionstation:wung_tv	subpart_of	company:pbs
televisionstation:kbtc_tv	subpart_of	company:pbs
televisionstation:klrn_tv	subpart_of	company:pbs
televisionstation:kood	subpart_of	company:pbs
televisionstation:wwpb	subpart_of	company:pbs
televisionstation:wbra_tv	subpart_of	company:pbs
televisionstation:wkno_tv	subpart_of	company:pbs
televisionstation:klpb_tv	subpart_of	company:pbs
televisionstation:krne_tv	subpart_of	company:pbs
televisionstation:kuas_tv	subpart_of	company:pbs
televisionstation:wouc_tv	subpart_of	company:pbs
televisionstation:klpa_tv	subpart_of	company:pbs
televisionstation:wpsx_tv	subpart_of	company:pbs
televisionstation:wneo	subpart_of	company:pbs
televisionstation:wviz_tv	subpart_of	company:pbs
televisionstation:wmae_tv	subpart_of	company:pbs
televisionstation:kteh	subpart_of	company:pbs
televisionstation:wmav_tv	subpart_of	company:pbs
televisionstation:whiq	subpart_of	company:pbs
televisionstation:wetp_tv	subpart_of	company:pbs
televisionstation:klne_tv	subpart_of	company:pbs
televisionstation:wbcc_tv	subpart_of	company:pbs
televisionstation:wnit_tv	subpart_of	company:pbs
televisionstation:wgbh_tv	subpart_of	company:pbs
televisionstation:kyve_tv	subpart_of	company:pbs
televisionstation:wunj_tv	subpart_of	company:pbs
televisionstation:whmc	subpart_of	company:pbs
televisionstation:ktnw	subpart_of	company:pbs
televisionstation:wqpt_tv	subpart_of	company:pbs
televisionstation:kisu_tv	subpart_of	company:pbs
televisionstation:wunm_tv	subpart_of	company:pbs
televisionstation:wkon	subpart_of	company:pbs
televisionstation:wune_tv	subpart_of	company:pbs
televisionstation:kmne_tv	subpart_of	company:pbs
televisionstation:kwet	subpart_of	company:pbs
televisionstation:wnjs	subpart_of	company:pbs
televisionstation:wjct	subpart_of	company:pbs
televisionstation:ksre	subpart_of	company:pbs
televisionstation:wenh	subpart_of	company:pbs
televisionstation:kusd_tv	subpart_of	company:pbs
televisionstation:kvie	subpart_of	company:pbs
televisionstation:wunl_tv	subpart_of	company:pbs
televisionstation:weiq_tv	subpart_of	company:pbs
televisionstation:wfiq	subpart_of	company:pbs
televisionstation:ktci_tv	subpart_of	company:pbs
televisionstation:wnjt	subpart_of	company:pbs
televisionstation:kamu_tv	subpart_of	company:pbs
televisionstation:wunp_tv	subpart_of	company:pbs
televisionstation:wpba	subpart_of	company:pbs
televisionstation:kepb_tv	subpart_of	company:pbs
televisionstation:kwse	subpart_of	company:pbs
televisionstation:ktca_tv	subpart_of	company:pbs
televisionstation:koet	subpart_of	company:pbs
televisionstation:wsre	subpart_of	company:pbs
televisionstation:kdsd_tv	subpart_of	company:pbs
televisionstation:wfpt	subpart_of	company:pbs
televisionstation:wkzt_tv	subpart_of	company:pbs
televisionstation:kxne_tv	subpart_of	company:pbs
televisionstation:wmec	subpart_of	company:pbs
televisionstation:wxel_tv	subpart_of	company:pbs
televisionstation:ktsd_tv	subpart_of	company:pbs
televisionstation:kzsd_tv	subpart_of	company:pbs
televisionstation:kswk	subpart_of	company:pbs
televisionstation:wkmr	subpart_of	company:pbs
televisionstation:wkop_tv	subpart_of	company:pbs
televisionstation:wunu	subpart_of	company:pbs
televisionstation:wjeb_tv	subpart_of	company:pbs
televisionstation:kedt	subpart_of	company:pbs
televisionstation:witf_tv	subpart_of	company:pbs
televisionstation:kusm	subpart_of	company:pbs
televisionstation:kawb	subpart_of	company:pbs
televisionstation:krcb	subpart_of	company:pbs
televisionstation:wmaw_tv	subpart_of	company:pbs
televisionstation:wgiq	subpart_of	company:pbs
televisionstation:wnpb_tv	subpart_of	company:pbs
televisionstation:wdcq_tv	subpart_of	company:pbs
televisionstation:weao	subpart_of	company:pbs
televisionstation:kcge_dt	subpart_of	company:pbs
televisionstation:kqsd_tv	subpart_of	company:pbs
televisionstation:wunu	subpart_of_organization	televisionnetwork:pbs
televisionstation:wtvi	subpart_of_organization	televisionnetwork:pbs
televisionstation:wpto	subpart_of_organization	televisionnetwork:pbs
televisionstation:kxne_tv	subpart_of_organization	televisionnetwork:pbs
televisionstation:wkso_tv	subpart_of_organization	televisionnetwork:pbs
televisionstation:wljt_tv	subpart_of_organization	televisionnetwork:pbs
televisionstation:kusm	subpart_of_organization	televisionnetwork:pbs
televisionstation:kpne_tv	subpart_of_organization	televisionnetwork:pbs
televisionstation:kisu_tv	subpart_of_organization	televisionnetwork:pbs
televisionstation:kuht	subpart_of_organization	televisionnetwork:pbs
televisionstation:wmah_tv	subpart_of_organization	televisionnetwork:pbs
televisionstation:wmea_tv	subpart_of_organization	televisionnetwork:pbs
