academicfield:news	academic_program_at_university	university:college
male:notre_dame	agent_collaborates_with_agent	coach:charlie_weis
sportsteam:wright_state_raiders	agent_collaborates_with_agent	personmexico:ncaa
sportsteam:gonzaga_bulldogs	agent_collaborates_with_agent	personmexico:ncaa
male:world	agent_collaborates_with_agent	person:kevin001
website:sydney_morning_herald	agent_collaborates_with_agent	journalist:paul_sheehan
politician:obama	agent_collaborates_with_agent	politicianus:chris_dodd
sportsteam:nevada_wolfpack	agent_collaborates_with_agent	personmexico:ncaa
sportsteam:unc_wilmington_seahawks	agent_collaborates_with_agent	personmexico:ncaa
sportsteam:notre_dame	agent_collaborates_with_agent	personmexico:ncaa
sportsteam:northeastern_huskies	agent_collaborates_with_agent	personmexico:ncaa
person:greg001	agent_collaborates_with_agent	male:world
politicianus:martin_luther_king	agent_collaborates_with_agent	politician:obama
city:new_york	agent_collaborates_with_agent	politician:obama
sportsteam:chicago_fire	agent_collaborates_with_agent	male:brian_mcbride
sportsteam:old_dominion_monarchs	agent_collaborates_with_agent	personmexico:ncaa
stateorprovince:iowa_hawkeyes	agent_collaborates_with_agent	personmexico:ncaa
sportsteam:new_york_mets	agent_collaborates_with_agent	athlete:carlos_beltran
person:meyer	agent_collaborates_with_agent	animal:head
sportsteam:north_texas_mean_green	agent_collaborates_with_agent	personmexico:ncaa
sportsteam:colorado_buffaloes	agent_collaborates_with_agent	personmexico:ncaa
sportsteam:ohio_bobcats	agent_collaborates_with_agent	personmexico:ncaa
sportsteam:colorado_state_rams	agent_collaborates_with_agent	personmexico:ncaa
politician:obama	agent_collaborates_with_agent	politicianus:hilary_clinton
stateorprovince:author	agent_collaborates_with_agent	male:world
person:mccain	agent_collaborates_with_agent	female:hillary
sportsteam:oklahoma_state_cowboys	agent_collaborates_with_agent	personmexico:ncaa
sportsteam:louisiana_lafayette_ragin_cajuns	agent_collaborates_with_agent	personmexico:ncaa
newspaper:herald	agent_collaborates_with_agent	scientist:andres_oppenheimer
sportsteam:connecticut_huskies	agent_collaborates_with_agent	personmexico:ncaa
sportsteam:new_york_mets	agent_collaborates_with_agent	person:jose_reyes
politician:james	agent_collaborates_with_agent	male:world
sportsteam:auburn_tigers	agent_collaborates_with_agent	personmexico:ncaa
sportsteam:oregon_state_beavers	agent_collaborates_with_agent	personmexico:ncaa
sportsteam:florida_state_seminoles	agent_collaborates_with_agent	personmexico:ncaa
politician:obama	agent_collaborates_with_agent	politicianus:ron_paul
sportsteam:chowan_braves	agent_collaborates_with_agent	personus:andruw_jones
person:mark001	agent_collaborates_with_agent	male:world
personnorthamerica:john_mccain	agent_collaborates_with_agent	politician:obama
sportsteam:georgia_state	agent_collaborates_with_agent	personmexico:ncaa
politicianus:nancy_pelosi	agent_collaborates_with_agent	politician:obama
male:world	agent_collaborates_with_agent	person:fred
politician:obama	agent_collaborates_with_agent	politicianus:martin_luther_king
personus:hilary_rodham_clinton	agent_collaborates_with_agent	politician:obama
sportsteam:pittsburgh_panthers	agent_collaborates_with_agent	personmexico:ncaa
personaustralia:smith	agent_collaborates_with_agent	animal:head
sportsteam:southern_utah_thunderbirds	agent_collaborates_with_agent	personmexico:ncaa
city:arkansas	agent_collaborates_with_agent	personafrica:lou_holtz
politician:obama	agent_collaborates_with_agent	person:house
sportsteam:baylor_bears	agent_collaborates_with_agent	personmexico:ncaa
politician:obama	agent_collaborates_with_agent	politicianus:john_f__kennedy
person:bill	agent_collaborates_with_agent	person:mccain
female:hilary	agent_collaborates_with_agent	person:house
female:hilary	agent_collaborates_with_agent	politician:obama
sportsteam:arizona_state_sun_devils	agent_collaborates_with_agent	personmexico:ncaa
politicianus:rodham_clinton	agent_collaborates_with_agent	person:bill
sportsteam:miami_hurricanes	agent_collaborates_with_agent	personmexico:ncaa
male:world	agent_collaborates_with_agent	politicianus:jim
politician:clinton	agent_collaborates_with_agent	personnorthamerica:john_mccain
politicianus:hillary_clinton	agent_collaborates_with_agent	person:mccain
sportsteam:utah_state	agent_collaborates_with_agent	personmexico:ncaa
sportsteam:reds	agent_collaborates_with_agent	athlete:lorenzen_wright
sportsteam:pittsburg_state_gorillas	agent_collaborates_with_agent	personmexico:ncaa
city:download	agent_collaborates_with_agent	personasia:site
person:mccain	agent_collaborates_with_agent	person:bill
sportsteam:northern_illinois_huskies	agent_collaborates_with_agent	personmexico:ncaa
sportsteam:saint_louis_billikens	agent_collaborates_with_agent	personmexico:ncaa
sportsteam:brown_bears	agent_collaborates_with_agent	personmexico:ncaa
sportsteam:valparaiso_crusaders	agent_collaborates_with_agent	personmexico:ncaa
politician:obama	agent_collaborates_with_agent	politicianus:john_edwards
sportsteam:georgia_southern_eagles	agent_collaborates_with_agent	personmexico:ncaa
animal:head	agent_collaborates_with_agent	person:meyer
sportsteam:alabama_state_hornets	agent_collaborates_with_agent	personmexico:ncaa
sportsteam:grand_valley_state_lakers	agent_collaborates_with_agent	personmexico:ncaa
sportsteam:ucla	agent_collaborates_with_agent	personmexico:ncaa
person:stephen	agent_collaborates_with_agent	male:world
sportsteam:boston_terriers	agent_collaborates_with_agent	personmexico:ncaa
politician:obama	agent_collaborates_with_agent	female:hilary
sportsteam:western_illinois	agent_collaborates_with_agent	personmexico:ncaa
sportsteam:memphis_tigers	agent_collaborates_with_agent	personmexico:ncaa
male:world	agent_collaborates_with_agent	journalist:dan
sportsteam:morehead_state_eagles	agent_collaborates_with_agent	personmexico:ncaa
sportsteam:new_york_mets	agent_collaborates_with_agent	personus:david_wright
sportsteam:alaska_fairbanks_nanooks	agent_collaborates_with_agent	personmexico:ncaa
politicianus:sens__john_mccain	agent_collaborates_with_agent	politician:obama
coach:charlie_weis	agent_collaborates_with_agent	male:notre_dame
sportsteam:idaho_vandals	agent_collaborates_with_agent	personmexico:ncaa
sportsteam:army_black_knights	agent_collaborates_with_agent	personus:george_o_leary
politicianus:john_kerry	agent_collaborates_with_agent	politician:obama
sportsteam:penn_state_nittany_lions	agent_collaborates_with_agent	personmexico:ncaa
sportsteam:xavier_musketeers	agent_collaborates_with_agent	personmexico:ncaa
politician:george_bush	agent_collaborates_with_agent	politician:obama
sportsteam:toledo_rockets	agent_collaborates_with_agent	personmexico:ncaa
politicianus:rodham_clinton	agent_collaborates_with_agent	politician:obama
politician:obama	agent_collaborates_with_agent	politicianus:sens__hillary_clinton
sportsteam:georgia_tech	agent_collaborates_with_agent	personmexico:ncaa
sportsteam:missouri_tigers	agent_collaborates_with_agent	personmexico:ncaa
politicianus:hillary_rodham_clinton	agent_collaborates_with_agent	politician:obama
sportsteam:savannah_state_tigers	agent_collaborates_with_agent	personmexico:ncaa
sportsteam:wisconsin_badgers	agent_collaborates_with_agent	personmexico:ncaa
sportsteam:florida_gulf_coast_eagles	agent_collaborates_with_agent	personmexico:ncaa
sportsteam:northern_arizona_lumberjacks	agent_collaborates_with_agent	personmexico:ncaa
male:world	agent_collaborates_with_agent	politician:james
sportsteam:cameron_aggies	agent_collaborates_with_agent	personmexico:ncaa
sportsteam:cal_state_fullerton_titans	agent_collaborates_with_agent	personmexico:ncaa
politicianus:hilary_clinton	agent_collaborates_with_agent	politician:obama
biotechcompany:apple	agent_collaborates_with_agent	university:wozniak
sportsteam:samford_bulldogs	agent_collaborates_with_agent	personmexico:ncaa
person:miley_cyrus	agent_collaborates_with_agent	politician:obama
personus:jeremiah_wright	agent_collaborates_with_agent	politician:obama
personus:tiger_woods	agent_collaborates_with_agent	politician:obama
sportsteam:maine_black_bears	agent_collaborates_with_agent	personmexico:ncaa
newspaper:tribune	agent_collaborates_with_agent	ceo:sam_zell
sportsteam:akron_zips	agent_collaborates_with_agent	personmexico:ncaa
sportsteam:kennesaw_state_owls	agent_collaborates_with_agent	personmexico:ncaa
sportsteam:central_michigan_chippewas	agent_collaborates_with_agent	personmexico:ncaa
sportsteam:georgetown_hoyas	agent_collaborates_with_agent	personmexico:ncaa
sportsteam:san_jose_state_spartans	agent_collaborates_with_agent	personmexico:ncaa
sportsteam:weber_state_wildcats	agent_collaborates_with_agent	personmexico:ncaa
sportsteam:colorado_college	agent_collaborates_with_agent	personmexico:ncaa
politicianus:hillary_clinton	agent_collaborates_with_agent	politician:obama
female:hilary	agent_collaborates_with_agent	person:mccain
sportsteam:george_mason_patriots	agent_collaborates_with_agent	personmexico:ncaa
stateorprovince:wyoming_cowboys	agent_collaborates_with_agent	personmexico:ncaa
sportsteam:new_york_mets	agent_collaborates_with_agent	politicianus:francisco_rodriguez
biotechcompany:apple	agent_collaborates_with_agent	personus:jobs
sportsteam:oregon_ducks	agent_collaborates_with_agent	personmexico:ncaa
sportsteam:ohio_state_buckeyes	agent_collaborates_with_agent	personmexico:ncaa
sportsteam:new_york_mets	agent_collaborates_with_agent	personmexico:carlos_santana001
sportsteam:kent_state	agent_collaborates_with_agent	personmexico:ncaa
sportsteam:northwestern_state_demons	agent_collaborates_with_agent	personmexico:ncaa
sportsteam:south_florida_bulls	agent_collaborates_with_agent	personmexico:ncaa
sportsteam:suns	agent_collaborates_with_agent	personmexico:jerry_colangelo
sportsteam:ohio_state_university	agent_collaborates_with_agent	personmexico:woody_hayes
sportsteam:man_utd	agent_collaborates_with_agent	person:ronaldo
sportsteam:mississippi_rebels	agent_collaborates_with_agent	personmexico:ncaa
politician:obama	agent_collaborates_with_agent	politicianus:senators_john_mccain
sportsteam:illinois_fighting_illini	agent_collaborates_with_agent	personmexico:ncaa
sportsteam:falcons	agent_collaborates_with_agent	athlete:matt_ryan
sportsteam:sacramento_state	agent_collaborates_with_agent	personmexico:ncaa
sportsteam:emory_eagles	agent_collaborates_with_agent	personmexico:ncaa
sportsteam:delaware_state_hornets	agent_collaborates_with_agent	personmexico:ncaa
sportsteam:arkansas_pine_bluff_golden_lions	agent_collaborates_with_agent	personmexico:ncaa
sportsteam:unlv_runnin_rebels	agent_collaborates_with_agent	personmexico:ncaa
sportsteam:appalachian_state_mo	agent_collaborates_with_agent	personmexico:ncaa
sportsteam:sacred_heart_pioneers	agent_collaborates_with_agent	personmexico:ncaa
sportsteam:idaho_state_bengals	agent_collaborates_with_agent	personmexico:ncaa
sportsteam:tulane_green_wave	agent_collaborates_with_agent	personmexico:ncaa
sportsteam:portland_state_vikings	agent_collaborates_with_agent	personmexico:ncaa
male:world	agent_collaborates_with_agent	person:michael002
animal:head	agent_collaborates_with_agent	musicartist:nichols
personcanada:search	agent_competes_with_agent	governmentorganization:reference
personcanada:search	agent_competes_with_agent	geometricshape:right
automobilemaker:firefox	agent_competes_with_agent	personcanada:search
amphibian:forum	agent_competes_with_agent	personcanada:search
personcanada:search	agent_competes_with_agent	city:forums
magazine:content	agent_competes_with_agent	personcanada:search
personcanada:search	agent_competes_with_agent	person:query
governmentorganization:template	agent_competes_with_agent	personcanada:search
governmentorganization:hotbot	agent_competes_with_agent	personcanada:search
personcanada:search	agent_competes_with_agent	stateorprovince:topics
politicalparty:way	agent_competes_with_agent	personcanada:search
personcanada:search	agent_competes_with_agent	personasia:category
agent:world	agent_competes_with_agent	personcanada:search
personasia:category	agent_competes_with_agent	personcanada:search
musicartist:type	agent_competes_with_agent	personcanada:search
comedian:domestic_animals	agent_competes_with_agent	invertebrate:cattle
coach:document	agent_competes_with_agent	personcanada:search
personcanada:search	agent_competes_with_agent	university:microsoft
personmexico:kayak	agent_competes_with_agent	university:search
personcanada:search	agent_competes_with_agent	automobilemaker:fast
university:search	agent_competes_with_agent	website:altavista_com
sportsteam:colts	agent_competes_with_agent	sportsteam:baltimore_colts
ceo:webpage	agent_competes_with_agent	personcanada:search
company:lycos	agent_competes_with_agent	mlauthor:web_search
sportsteam:new_york_giants	agent_competes_with_agent	sportsteam:new_england_patriots
sportsteam:new_york_giants	agent_competes_with_agent	automobilemaker:dallas_cowboys
politicalparty:process	agent_competes_with_agent	personcanada:search
stateorprovince:ole_miss	agent_competes_with_agent	university:mississippi_state_university
coach:new_england_patriots	agent_competes_with_agent	sportsteam:new_york_giants
governmentorganization:usps	agent_competes_with_agent	bank:priority_mail
website:yahoo_mail	agent_competes_with_agent	mlauthor:web_search
animal:animals001	agent_competes_with_agent	insect:insects
stateorprovince:ole_miss	agent_competes_with_agent	stateorprovince:mississippi_state
personcanada:search	agent_competes_with_agent	automobilemaker:tips
personmexico:ncaa	agent_competes_with_agent	creditunion:michigan
personcanada:video	agent_competes_with_agent	personcanada:search
musicartist:type	agent_competes_with_agent	animal:animals001
automobilemaker:listing	agent_competes_with_agent	personcanada:search
newspaper:msn_com	agent_competes_with_agent	personcanada:search
personcanada:search	agent_competes_with_agent	insect:subject
personcanada:search	agent_competes_with_agent	organization:sort
personcanada:search	agent_competes_with_agent	automobilemaker:information
automobilemaker:shopping_cart	agent_competes_with_agent	personcanada:search
vertebrate:news	agent_competes_with_agent	vertebrate:search
personcanada:search	agent_competes_with_agent	automobilemaker:listing
company:yahoo001	agent_competes_with_agent	vertebrate:news
personcanada:search	agent_competes_with_agent	city:main_page
personcanada:search	agent_competes_with_agent	personmexico:kayak
personcanada:search	agent_competes_with_agent	university:index
personcanada:search	agent_competes_with_agent	automobilemaker:shopping_cart
personcanada:search	agent_competes_with_agent	magazine:stuff
personcanada:search	agent_competes_with_agent	crustacean:e_g
vertebrate:news	agent_competes_with_agent	company:morning_america
amphibian:references	agent_competes_with_agent	personcanada:search
personmexico:ncaa	agent_competes_with_agent	visualartist:johns_hopkins
personcanada:search	agent_competes_with_agent	personcanada:video
mollusk:domesticated_animals	agent_competes_with_agent	blog:goats
criminal:web_sites	agent_competes_with_agent	personcanada:search
sportsteam:chicago_bulls	agent_competes_with_agent	radiostation:ball_state_university
animal:wildebeests	agent_competes_with_agent	mammal:animals
sportsteam:arizona_cardinals_27_23	agent_competes_with_agent	sportsteam:new_york_giants
personcanada:search	agent_competes_with_agent	coach:document
arachnid:black_widows	agent_competes_with_agent	arthropod:spiders
vertebrate:search	agent_competes_with_agent	invertebrate:spider
university:search	agent_competes_with_agent	website:inktomi
personcanada:search	agent_competes_with_agent	amphibian:graphics
sportsteam:arizona_cardinals_27_23	agent_competes_with_agent	coach:philadelphia_eagles
personcanada:search	agent_competes_with_agent	city:videos
company:yahoo001	agent_competes_with_agent	mlauthor:web_search
governmentorganization:webcrawler	agent_competes_with_agent	personcanada:search
personcanada:search	agent_competes_with_agent	crustacean:topic
personcanada:search	agent_competes_with_agent	governmentorganization:template
invertebrate:cranes	agent_competes_with_agent	animal:animals001
bank:express_mail	agent_competes_with_agent	governmentorganization:usps
personcanada:search	agent_competes_with_agent	female:lot
invertebrate:spider	agent_competes_with_agent	vertebrate:search
governmentorganization:usps	agent_competes_with_agent	bank:international_priority_mail
celebrity:screen	agent_competes_with_agent	personcanada:search
actor:posts	agent_competes_with_agent	personcanada:search
personcanada:search	agent_competes_with_agent	personcanada:gallery
criminal:web_pages	agent_competes_with_agent	personcanada:search
personcanada:search	agent_competes_with_agent	amphibian:references
governmentorganization:excite	agent_competes_with_agent	personcanada:search
personcanada:search	agent_competes_with_agent	professor:paper
ceo:index_this_page	agent_competes_with_agent	personcanada:search
bank:global_priority	agent_competes_with_agent	governmentorganization:usps
journalist:eagles	agent_competes_with_agent	automobilemaker:dallas_cowboys
sportsteam:steelers	agent_competes_with_agent	sportsteam:arizona_cardinals_27_23
insect:bumblebees	agent_competes_with_agent	insect:insects
criminal:searches	agent_competes_with_agent	personcanada:search
personcanada:search	agent_competes_with_agent	website:youtube
coach:new_york_jets	agent_competes_with_agent	sportsteam:philadelphia_athletics
personcanada:search	agent_competes_with_agent	governmentorganization:pubmed
arthropod:lice	agent_competes_with_agent	insect:insects
personcanada:search	agent_competes_with_agent	ceo:webpage
mammal:mules	agent_competes_with_agent	mammal:animals
personcanada:search	agent_competes_with_agent	actor:description
governmentorganization:metacrawler	agent_competes_with_agent	personcanada:search
sportsteam:new_york_giants	agent_competes_with_agent	personnorthamerica:bills
personcanada:search	agent_competes_with_agent	crustacean:comb
nonprofitorganization:data	agent_competes_with_agent	personcanada:search
personcanada:search	agent_competes_with_agent	personcanada:work
actor:description	agent_competes_with_agent	personcanada:search
personcanada:search	agent_competes_with_agent	personasia:request
personcanada:search	agent_competes_with_agent	city:contents
governmentorganization:program	agent_competes_with_agent	personcanada:search
vertebrate:news	agent_competes_with_agent	company:cnn__msnbc
personcanada:search	agent_competes_with_agent	celebrity:screen
company:post	agent_competes_with_agent	newspaper:the_wall_street
personcanada:search	agent_competes_with_agent	personasia:site
arachnid:black_widow_spiders	agent_competes_with_agent	arthropod:spiders
personcanada:search	agent_competes_with_agent	musicartist:type
governmentorganization:usps	agent_competes_with_agent	bank:express_mail
personasia:site	agent_competes_with_agent	personcanada:search
mammal:zebra	agent_competes_with_agent	mammal:animals
personcanada:search	agent_competes_with_agent	magazine:content
mammal:sheep	agent_competes_with_agent	vertebrate:ruminants
personcanada:search	agent_competes_with_agent	tradeunion:disk
sportsteam:dundee_united	agent_competes_with_agent	sportsteam:bolton_wanderers
sportsteam:east_carolina	agent_competes_with_agent	invertebrate:loggers
personcanada:search	agent_competes_with_agent	bird:profile
personcanada:search	agent_competes_with_agent	mlauthor:world_wide_web
personcanada:search	agent_competes_with_agent	mollusk:phrases
sportsteam:red_wings	agent_competes_with_agent	professionalorganization:avs
musicartist:real_estate	agent_competes_with_agent	personcanada:search
personcanada:search	agent_competes_with_agent	ceo:blogs
vertebrate:news	agent_competes_with_agent	televisionstation:atlanta_journal_constitution
personcanada:search	agent_competes_with_agent	sportsleague:rss
stateorprovince:author	agent_competes_with_agent	personcanada:search
animal:animals001	agent_competes_with_agent	sportsteam:chicago_bulls
insect:goggle	agent_competes_with_agent	personcanada:search
personcanada:search	agent_competes_with_agent	ceo:site_usage
personcanada:search	agent_competes_with_agent	amphibian:forum
personcanada:search	agent_competes_with_agent	automobilemaker:contact
personcanada:search	agent_competes_with_agent	musicartist:real_estate
personcanada:shop	agent_competes_with_agent	personcanada:search
insect:insect_larvae	agent_competes_with_agent	arthropod:invertebrates
stateorprovince:plenty	agent_competes_with_agent	personcanada:search
governmentorganization:directory	agent_competes_with_agent	personcanada:search
personcanada:search	agent_competes_with_agent	personcanada:shop
governmentorganization:results	agent_competes_with_agent	personcanada:search
fish:billfish	agent_competes_with_agent	fish:pelagics
company:priority	agent_competes_with_agent	governmentorganization:usps
vertebrate:news	agent_competes_with_agent	website:san_jose_mercury_news
personcanada:search	agent_competes_with_agent	person:partner
personcanada:search	agent_competes_with_agent	model:ads
automobilemaker:catalog	agent_competes_with_agent	personcanada:search
personcanada:search	agent_competes_with_agent	ceo:index_this_page
personcanada:search	agent_competes_with_agent	nongovorganization:guide
personcanada:search	agent_competes_with_agent	city:info
personcanada:search	agent_competes_with_agent	governmentorganization:metacrawler
personcanada:search	agent_competes_with_agent	governmentorganization:results
personcanada:search	agent_competes_with_agent	governmentorganization:directory
personcanada:search	agent_competes_with_agent	personcanada:products
personcanada:products	agent_competes_with_agent	personcanada:search
personcanada:search	agent_competes_with_agent	mlauthor:research
personcanada:search	agent_competes_with_agent	politicalparty:types
personasia:request	agent_competes_with_agent	personcanada:search
personcanada:style	agent_competes_with_agent	personcanada:search
comedian:live	agent_competes_with_agent	personcanada:search
personcanada:search	agent_competes_with_agent	city:listings
personcanada:search	agent_competes_with_agent	automobilemaker:concept
personmexico:ncaa	agent_competes_with_agent	male:notre_dame
company:express	agent_competes_with_agent	city:daily
celebrity:feed	agent_competes_with_agent	personcanada:search
personcanada:search	agent_competes_with_agent	city:tags
personcanada:search	agent_competes_with_agent	personaustralia:more_information
sportsteam:eagles	agent_competes_with_agent	sportsteam:arizona_cardinals_27_23
stateorprovince:topics	agent_competes_with_agent	personcanada:search
personcanada:search	agent_competes_with_agent	personafrica:keyword
insect:sparrows	agent_competes_with_agent	animal:birds003
personnorthamerica:bills	agent_competes_with_agent	sportsteam:new_york_giants
bank:priority_mail	agent_competes_with_agent	governmentorganization:usps
governmentorganization:copy	agent_competes_with_agent	personcanada:search
coach:philadelphia_eagles	agent_competes_with_agent	sportsteam:new_york_giants
sportsteam:new_york_giants	agent_competes_with_agent	coach:new_england_patriots
personmexico:ncaa	agent_competes_with_agent	company:west_virginia
person:button	agent_competes_with_agent	personcanada:search
personcanada:search	agent_competes_with_agent	automobilemaker:firefox
female:lot	agent_competes_with_agent	personcanada:search
visualartist:award	agent_competes_with_agent	personcanada:search
insect:honeybees	agent_competes_with_agent	insect:insects
personcanada:search	agent_competes_with_agent	politicalparty:way
company:alta_vista	agent_competes_with_agent	university:search
sportsteam:baltimore_colts	agent_competes_with_agent	sportsteam:colts
crustacean:copepods	agent_competes_with_agent	crustacean:shrimp
mammal:gazelle	agent_competes_with_agent	mammal:animals
personcanada:search	agent_competes_with_agent	criminal:web_sites
sportsteam:arizona_cardinals_27_23	agent_competes_with_agent	sportsteam:steelers
animal:birds003	agent_competes_with_agent	journalist:eagles
personcanada:search	agent_competes_with_agent	insect:goggle
automobilemaker:information	agent_competes_with_agent	personcanada:search
newspaper:tribune	agent_competes_with_agent	website:new_york_times
ceo:site_usage	agent_competes_with_agent	personcanada:search
geometricshape:right	agent_competes_with_agent	personcanada:search
crustacean:topic	agent_competes_with_agent	personcanada:search
animal:deer001	agent_competes_with_agent	animal:animals001
website:altavista_com	agent_competes_with_agent	university:search
company:lycos	agent_competes_with_agent	university:search
personmexico:ncaa	agent_competes_with_agent	creditunion:wisconsin
personcanada:search	agent_competes_with_agent	magazine:titles
personcanada:search	agent_competes_with_agent	musicartist:rate
mammal:alpacas	agent_competes_with_agent	mammal:animals
personcanada:search	agent_competes_with_agent	website:google_search_engine
website:yahoo_mail	agent_competes_with_agent	university:search
professor:paper	agent_competes_with_agent	personcanada:search
bank:ups	agent_competes_with_agent	governmentorganization:usps
mammal:camels	agent_competes_with_agent	mammal:animals
vertebrate:news	agent_competes_with_agent	company:cnn__nbc
personcanada:search	agent_competes_with_agent	nonprofitorganization:data
automobilemaker:fast	agent_competes_with_agent	personcanada:search
magazine:picture	agent_competes_with_agent	personcanada:search
musicartist:rate	agent_competes_with_agent	personcanada:search
personcanada:search	agent_competes_with_agent	actor:posts
sportsteam:new_england_patriots	agent_competes_with_agent	sportsteam:new_york_giants
personcanada:search	agent_competes_with_agent	city:download
model:ads	agent_competes_with_agent	personcanada:search
politicalparty:types	agent_competes_with_agent	personcanada:search
animal:wild_rabbits	agent_competes_with_agent	animal:animals001
personcanada:search	agent_competes_with_agent	city:internet
personcanada:search	agent_competes_with_agent	agent:world
agent:project	agent_competes_with_agent	personcanada:search
mammal:yaks	agent_competes_with_agent	mammal:animals
crustacean:decapods	agent_competes_with_agent	crustacean:shrimp
governmentorganization:payment	agent_competes_with_agent	personcanada:search
blog:goats	agent_competes_with_agent	mollusk:domesticated_animals
personcanada:search	agent_competes_with_agent	musicartist:availability
personcanada:search	agent_competes_with_agent	tradeunion:web_site
personcanada:search	agent_competes_with_agent	comedian:image
personcanada:search	agent_competes_with_agent	personasia:features
